Incidence of IPC Cases - City / District / Zone Wise for the year 2011,,,,,,,,,,,
S.NO.,Cities/Districts,Murder for Gain,Dacoity,Robbery,Burglary,Theft,Murder ,Hurt / Grievous Hurt,Rape,Fatal accidents,Non - Fatal accidents
,,,,,,,,,,,
1,Chennai City,9,3,219,766,2866,159,1466,76,1431,8831
2,Coimbatore City,2,0,48,105,824,24,398,9,253,873
3,Madurai City,3,1,85,106,455,30,171,7,123,562
4,Trichy City,2,0,30,55,437,25,142,6,174,607
5,Salem City,3,3,60,55,273,23,355,23,126,572
6,Tirunelveli City,2,1,36,36,92,20,131,7,103,287
Cities,,21,8,478,1123,4947,281,2663,128,2210,11732
7,Kancheepuram,12,1,22,97,275,75,497,19,854,1888
8,Thiruvallur,0,2,27,64,126,30,362,6,321,883
9,Villupuram,5,6,64,175,497,82,1340,86,815,2460
10,Cuddalore,4,2,40,114,345,64,1010,30,498,2594
11,Vellore,0,3,23,186,560,77,794,25,740,2478
12,Thiruvannamalai,3,2,3,76,188,42,635,24,342,1124
North Zone ,,24,16,179,712,1991,370,4638,190,3570,11427
13,Salem,1,6,40,112,187,69,1650,35,563,1987
14,Namakkal,3,3,29,90,173,35,520,8,428,1544
15,Dharmapuri,1,6,34,68,157,53,891,14,252,1134
16,Krishnagiri,7,3,48,127,290,65,726,12,450,1416
17,Coimbatore,4,4,112,166,402,35,464,5,554,1467
18,Tiruppur,9,8,98,276,827,38,421,9,680,1737
19,Erode,7,2,63,101,409,40,485,10,560,1402
20,Nilgiris,0,0,14,50,65,17,176,6,57,237
West Zone ,,32,32,438,990,2510,352,5333,99,3544,10924
21,Trichy,3,6,79,121,222,46,306,13,497,1360
22,Karur,6,0,39,55,183,22,261,8,293,818
23,Pudukottai,3,2,36,76,169,32,330,7,304,937
24,Perambalur,1,0,32,42,78,13,129,7,158,367
25,Ariyalur,1,0,9,38,94,26,210,16,109,383
26,Thanjavur,1,1,103,233,588,60,870,10,439,1845
27,Nagapattinam,1,0,25,62,164,43,455,13,254,1174
28,Thiruvarur,1,0,12,85,134,23,467,4,165,1040
Central Zone,,17,9,335,712,1632,265,3028,78,2219,7924
29,Madurai,3,18,156,198,355,68,638,21,491,1497
30,Virudunagar,4,2,46,95,256,42,524,19,294,946
31,Dindigul,5,1,52,97,256,60,533,18,561,1396
32,Theni,4,2,33,125,261,30,666,22,251,1024
33,Ramanathapuram,2,0,22,101,190,40,495,6,228,579
34,Sivagangai,0,5,16,92,200,30,236,5,261,547
35,Tirunelveli,4,1,76,203,345,89,1040,52,426,1536
36,Thoothukudi,3,4,92,218,393,69,587,29,344,1068
37,Kanyakumari,3,2,114,180,268,41,735,10,276,939
South Zone ,,28,35,607,1309,2524,469,5454,182,3132,9532
38,Chennai RP,1,1,26,1,216,5,41,0,5,5
39,Trichy RP,0,0,3,1,104,5,10,0,6,1
Railways,,1,1,29,2,320,10,51,0,11,6
State Total,,123,101,2066,4848,13924,1747,21167,677,14686,51545
